Severity,Distance(mi),Visibility(mi)
3,0.01,10.0
2,0.01,10.0
2,0.01,10.0
3,0.01,9.0
2,0.01,6.0
3,0.01,7.0
2,0.0,7.0
3,0.01,7.0
2,0.0,5.0
3,0.01,3.0
3,0.01,5.0
3,0.01,3.0
2,0.0,3.0
2,0.01,10.0
2,0.01,3.0
2,0.01,3.0
2,0.01,7.0
2,0.0,10.0
2,0.01,10.0
2,0.01,10.0
2,0.0,2.0
2,0.0,10.0
2,0.01,6.0
3,0.01,8.0
2,0.01,10.0
2,1.32,5.0
2,0.0,7.0
2,0.0,10.0
2,0.01,10.0
2,0.0,10.0
2,0.01,10.0
2,0.0,10.0
3,0.01,6.0
3,0.01,6.0
2,0.01,7.0
2,1.09,9.0
2,0.01,5.0
2,0.01,2.5
2,0.01,4.0
3,0.01,1.5
2,0.0,0.8
2,0.01,3.0
2,0.01,1.8
3,0.01,1.0
3,0.01,2.0
3,0.01,1.0
2,0.01,2.0
3,0.01,1.0
2,0.01,4.0
3,0.01,4.0
2,0.01,2.0
2,0.01,2.0
3,0.01,2.0
3,0.01,1.5
3,0.01,1.2
2,0.01,2.5
2,0.01,2.0
2,0.01,1.2
2,0.01,1.2
2,0.01,1.2
3,0.01,1.8
2,0.0,2.0
2,0.01,1.2
2,0.01,1.2
2,0.0,0.8
3,0.01,1.2
3,0.01,1.2
3,0.01,10.0
3,0.01,10.0
3,0.01,5.0
2,0.01,2.5
2,0.0,5.0
3,0.01,4.0
2,0.0,4.0
2,0.01,7.0
3,0.01,7.0
3,0.01,1.0
2,0.01,1.8
2,0.0,1.5
2,0.0,4.0
2,0.01,1.0
3,0.01,3.0
3,0.01,1.5
3,0.01,1.5
3,0.01,1.0
3,1.28,4.0
3,0.01,7.0
3,0.01,9.0
3,0.01,4.0
2,0.01,10.0
2,0.01,10.0
3,0.01,10.0
2,0.01,10.0
2,0.01,10.0
3,0.01,2.0
2,0.01,10.0
3,0.01,10.0
2,0.0,9.0
2,0.01,10.0
2,0.01,10.0
2,0.01,9.0
2,0.48,10.0
3,0.01,10.0
2,0.0,10.0
2,0.0,10.0
2,0.01,10.0
3,0.01,10.0
2,0.01,10.0
2,0.0,10.0
2,0.0,10.0
2,0.01,10.0
2,0.01,10.0
2,0.01,10.0
2,0.01,10.0
2,0.01,10.0
2,0.0,10.0
2,0.01,10.0
3,0.01,10.0
2,0.01,10.0
3,0.01,9.0
3,0.01,10.0
3,0.01,10.0
2,0.0,10.0
2,0.01,7.0
3,1.67,3.0
3,0.94,5.0
3,0.94,5.0
3,2.79,10.0
3,0.01,10.0
3,0.01,10.0
3,0.01,10.0
2,0.01,10.0
3,0.01,10.0
3,0.01,10.0
3,0.01,10.0
3,0.01,10.0
3,0.01,10.0
3,0.01,10.0
3,0.01,0.5
3,0.01,1.0
2,0.01,2.5
2,0.01,1.5
3,0.71,5.0
3,0.01,3.0
2,2.04,3.0
3,0.01,0.2
2,0.0,1.5
3,0.01,1.5
3,0.01,1.5
2,0.01,0.8
2,0.0,4.0
3,0.01,0.8
3,0.01,4.0
2,0.01,1.0
2,0.01,0.8
2,0.01,1.0
2,0.0,2.0
2,0.01,1.0
2,0.0,2.5
2,0.01,1.5
2,0.01,5.0
2,0.01,4.0
2,0.01,2.0
1,0.0,7.0
2,0.01,7.0
3,0.01,1.8
2,0.0,0.5
3,0.01,1.2
3,0.01,1.2
3,0.01,3.0
2,0.0,2.5
3,0.01,5.0
3,0.01,5.0
2,0.01,5.0
2,0.01,2.0
2,0.0,2.0
3,1.65,4.0
3,0.01,1.8
2,0.01,3.0
2,0.01,7.0
3,0.01,3.0
2,0.01,7.0
2,0.01,3.0
2,0.01,2.0
3,0.01,3.0
2,0.01,5.0
3,0.01,1.8
3,0.01,5.0
2,0.01,3.0
2,1.65,1.0
3,0.01,2.5
2,0.01,1.5
3,0.01,4.0
2,0.01,3.0
2,0.01,2.5
2,0.01,2.5
2,0.0,6.0
2,0.01,6.0
2,0.01,1.8
2,0.0,6.0
2,0.0,6.0
3,0.01,2.5
3,0.01,2.0
2,0.01,10.0
3,0.01,7.0
2,0.01,10.0
2,0.01,6.0
2,0.01,7.0
2,0.01,7.0
2,0.01,7.0
3,0.01,6.0
3,0.01,5.0
3,0.01,7.0
2,0.0,3.0
3,0.01,7.0
2,0.01,3.0
2,1.73,7.0
2,0.01,5.0
3,0.01,6.0
2,0.0,4.0
2,0.01,4.0
3,0.01,6.0
2,0.0,4.0
3,0.01,6.0
2,0.01,2.5
3,0.01,6.0
2,0.01,4.0
3,0.01,5.0
2,0.0,4.0
2,0.01,3.0
2,0.01,9.0
2,0.01,10.0
2,0.0,9.0
2,0.01,10.0
2,0.01,7.0
2,0.01,10.0
3,0.01,9.0
3,0.01,1.8
3,0.01,7.0
3,0.01,8.0
3,0.01,8.0
3,0.01,5.0
2,0.01,10.0
3,0.01,7.0
2,0.01,5.0
2,0.01,10.0
2,0.0,10.0
3,0.01,7.0
3,0.01,10.0
2,0.0,6.0
2,0.0,5.0
3,0.01,10.0
2,0.01,8.0
2,0.0,10.0
3,0.01,7.0
2,0.01,10.0
3,0.01,7.0
3,0.01,10.0
3,0.01,10.0
3,0.01,10.0
